"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2153","+low",120,0.38,0.08,0.54,0.364455445544554,0.0591089108910891,0.576435643564356,0.26,"179.5112862746",0.955753737634464
"event.times2154","full",120,0.07,0.2,0.73,0.0744554455445545,0.256633663366337,0.668910891089109,0.48,"153.362756561626",0.561901770404197
"event.times2155","low.var",120,0.29,0.26,0.45,0.236732673267327,0.244455445544554,0.518811881188119,0.5,"98.5929943415222",0.922607343037186
"event.times2156","+high",120,0,0.44,0.56,0,0.517029702970297,0.482970297029703,0.72,"114.954894190387",0.793893675857722
"event.times2157","+low",120,0.33,0.15,0.52,0.315445544554455,0.161386138613861,0.523168316831683,0.28,"79.2736021824715",1.20327637157164
"event.times2158","full",120,0,0.34,0.66,0,0.257227722772277,0.742772277227723,0.45,"146.68669278947",0.688618679780738
"event.times2159","low.var",120,0.18,0.37,0.45,0.197425742574257,0.305148514851485,0.497425742574257,0.48,"87.9671013559116",0.787421573293679
"event.times2160","+high",120,0,0.53,0.47,0,0.542277227722772,0.457722772277228,0.67,"69.0668761143243",1.55833881746418
"event.times2161","+low",120,0.2,0.07,0.73,0.202673267326733,0.0895049504950495,0.707821782178218,0.28,"137.100982877587",1.05526738756141
"event.times2162","full",120,0.04,0.39,0.57,0.068019801980198,0.357524752475248,0.574455445544554,0.44,"191.87309724165",1.45283532063065
"event.times2163","low.var",120,0.06,0.34,0.6,0.0945544554455446,0.312574257425743,0.592871287128713,0.49,"54.1541530691645",0.998154228551391
"event.times2164","+high",120,0,0.42,0.58,0,0.501782178217822,0.498217821782178,0.72,"94.2488442935678",1.43080206757918
"event.times2165","+low",120,0.27,0.2,0.53,0.324851485148515,0.152673267326733,0.522475247524752,0.27,"81.7315188593175",0.730171552008413
"event.times2166","full",120,0,0.54,0.46,0,0.46039603960396,0.53960396039604,0.54,"165.012427631397",1.04614129892531
"event.times2167","low.var",120,0.21,0.33,0.46,0.226336633663366,0.418613861386139,0.355049504950495,0.5,"127.084281566425",1.06780360915979
"event.times2168","+high",120,0,0.58,0.42,0,0.492475247524752,0.507524752475248,0.64,"57.5790103170052",0.847304740996854
"event.times2169","+low",120,0.29,0.07,0.64,0.257227722772277,0.0573267326732673,0.685445544554455,0.22,"180.673681824984",0.416020821733611
"event.times2170","full",120,0,0.38,0.62,0,0.40990099009901,0.59009900990099,0.53,"164.090950451111",1.31173606332403
"event.times2171","low.var",120,0.11,0.24,0.65,0.141584158415842,0.296534653465347,0.561881188118812,0.46,"121.570171819252",0.830234109661215
"event.times2172","+high",120,0,0.41,0.59,0,0.443465346534653,0.556534653465346,0.64,"99.1101884603992",0.830152055658622
"event.times2173","+low",120,0.27,0.07,0.66,0.175148514851485,0.0965346534653465,0.728316831683168,0.25,"174.085153003297",0.758687580544044
"event.times2174","full",120,0.05,0.33,0.62,0.0602970297029703,0.334851485148515,0.604851485148515,0.45,"159.2381167232",1.07987330469061
"event.times2175","low.var",120,0.34,0.2,0.46,0.293267326732673,0.245049504950495,0.461683168316832,0.44,"66.863003590015",1.22195485979387
"event.times2176","+high",120,0,0.54,0.46,0,0.54970297029703,0.45029702970297,0.73,"107.318524330732",1.59480965653818
"event.times2177","+low",120,0.43,0.14,0.43,0.454059405940594,0.14029702970297,0.405643564356436,0.18,"127.42873027602",0.425790122418824
"event.times2178","full",120,0.72,0,0.28,0.786336633663366,0,0.213663366336634,0.01,"0",0.395793744614634
"event.times2179","low.var",120,0.07,0.27,0.66,0.106435643564356,0.294554455445545,0.599009900990099,0.44,"109.967287685211",1.03123951487606
"event.times2180","+high",120,0,0.53,0.47,0,0.569207920792079,0.430792079207921,0.74,"110.769744876129",1.39254838036008
"event.times2181","+low",120,0.14,0.19,0.67,0.221287128712871,0.177623762376238,0.601089108910891,0.34,"106.500734324124",1.1829017532212
"event.times2182","full",120,0,0.24,0.76,0,0.285940594059406,0.714059405940594,0.46,"40.5699076530785",0.564845242989291
"event.times2183","low.var",120,0.34,0.21,0.45,0.32029702970297,0.244851485148515,0.434851485148515,0.45,"119.36353459815",1.08133500044564
"event.times2184","+high",120,0,0.55,0.45,0,0.524653465346535,0.475346534653465,0.68,"117.685106184196",0.899081432747744
"event.times2185","+low",120,0.71,0,0.29,0.663861386138614,0,0.336138613861386,0.01,"0",0.573607896833894
"event.times2186","full",120,0,0.27,0.73,0,0.259108910891089,0.740891089108911,0.47,"52.3943054317585",1.6162874777406
"event.times2187","low.var",120,0.17,0.42,0.41,0.193366336633663,0.355445544554455,0.451188118811881,0.47,"96.2045413747925",1.15676545759793
"event.times2188","+high",120,0,0.45,0.55,0,0.489405940594059,0.510594059405941,0.69,"47.2638605298211",1.14898577180704
"event.times2189","+low",120,0.72,0,0.28,0.64019801980198,0,0.35980198019802,0.01,"0",0.606148152236569
"event.times2190","full",120,0,0.3,0.7,0,0.328910891089109,0.671089108910891,0.45,"96.889151564036",0.611635504157351
"event.times2191","low.var",120,0,0.14,0.86,0,0.195049504950495,0.804950495049505,0.51,"61.5458425179441",0.761512024804953
"event.times2192","+high",120,0,0.59,0.41,0,0.567623762376238,0.432376237623762,0.71,"71.4975963761595",0.8128882000631
"event.times2193","+low",120,0.76,0,0.24,0.704356435643564,0,0.295643564356436,0.01,"0",1.09655491644068
"event.times2194","full",120,0,0.28,0.72,0,0.292475247524752,0.707524752475247,0.49,"63.2022657904615",1.09452596313976
"event.times2195","low.var",120,0.03,0.24,0.73,0.075049504950495,0.220594059405941,0.704356435643564,0.5,"108.692626657107",1.20890080306281
"event.times2196","+high",120,0,0.42,0.58,0,0.412277227722772,0.587722772277228,0.69,"73.3440710427793",1.14450510403232
"event.times2197","+low",120,0.45,0.11,0.44,0.421980198019802,0.102376237623762,0.475643564356436,0.27,"144.449941840766",0.746266226666391
"event.times2198","full",120,0,0.36,0.64,0,0.347524752475248,0.652475247524752,0.52,"118.405045911291",1.49413250374761
"event.times2199","low.var",120,0.08,0.31,0.61,0.0621782178217822,0.256534653465347,0.681287128712871,0.44,"140.249412322328",1.03855539779135
"event.times2200","+high",120,0,0.49,0.51,0,0.486039603960396,0.513960396039604,0.64,"65.3604054175246",1.20397482344982
"event.times2201","+low",120,0.35,0.03,0.62,0.278118811881188,0.0441584158415842,0.677722772277228,0.21,"135.804302962624",0.408772135403265
"event.times2202","full",120,0.19,0.29,0.52,0.255742574257426,0.225742574257426,0.518514851485149,0.4,"80.3050659158772",1.44096937575923
"event.times2203","low.var",120,0.78,0,0.22,0.822772277227723,0,0.177227722772277,0.01,"0",1.14216288968069
"event.times2204","+high",120,0,0.53,0.47,0,0.472376237623762,0.527623762376238,0.67,"43.9242638260676",0.771874438022221
"event.times2205","+low",120,0.42,0.1,0.48,0.344257425742574,0.0833663366336634,0.572376237623762,0.26,"147.02650849988",1.06486155602433
"event.times2206","full",120,0,0,1,0,0.120792079207921,0.879207920792079,0.52,"54.7423565803366",1.25721449121176
"event.times2207","low.var",120,0.33,0.36,0.31,0.417227722772277,0.29970297029703,0.283069306930693,0.46,"88.2218628531504",1.13319371330431
"event.times2208","+high",120,0,0.5,0.5,0,0.516039603960396,0.483960396039604,0.69,"101.149401912228",1.00843024129078
"event.times2209","+low",120,0.65,0,0.35,0.653366336633663,0,0.346633663366337,0.01,"0",0.363399936635012
"event.times2210","full",120,0.77,0,0.23,0.756534653465347,0,0.243465346534653,0.01,"0",0.435570215994534
"event.times2211","low.var",120,0.15,0.16,0.69,0.132871287128713,0.223465346534653,0.643663366336634,0.44,"70.7918561055327",0.914269084657945
"event.times2212","+high",120,0,0.56,0.44,0,0.548910891089109,0.451089108910891,0.7,"121.038645176884",1.52849493864911
"event.times2213","+low",120,0.22,0.16,0.62,0.254158415841584,0.141089108910891,0.604752475247525,0.21,"165.801662141855",0.602684318713214
"event.times2214","full",120,0,0.14,0.86,0,0.153069306930693,0.846930693069307,0.42,"55.7059795900688",0.953398857291444
"event.times2215","low.var",120,0.08,0.41,0.51,0.0651485148514852,0.374356435643564,0.560495049504951,0.46,"162.048766786803",0.963683970266449
"event.times2216","+high",120,0,0.61,0.39,0,0.615346534653465,0.384653465346535,0.71,"54.0904340814554",0.914196716759471
"event.times2217","+low",120,0.26,0.07,0.67,0.242079207920792,0.0725742574257426,0.685346534653465,0.27,"177.175324268957",1.20175560183824
"event.times2218","full",120,0,0.32,0.68,0,0.318217821782178,0.681782178217822,0.55,"142.748100485969",1.44622504631784
"event.times2219","low.var",120,0.06,0.32,0.62,0.0766336633663366,0.335742574257426,0.587623762376238,0.43,"95.1645302024978",1.18317052540483
"event.times2220","+high",120,0,0.55,0.45,0,0.561287128712871,0.438712871287129,0.7,"48.0901988254236",1.55717265744335
"event.times2221","+low",120,0.27,0.13,0.6,0.307227722772277,0.149009900990099,0.543762376237624,0.23,"98.5319929264175",0.554465260590558
"event.times2222","full",120,0,0.18,0.82,0,0.307128712871287,0.692871287128713,0.5,"61.594486237974",1.70613490823681
"event.times2223","low.var",120,0,0.27,0.73,0,0.243465346534653,0.756534653465347,0.42,"60.6326090094067",1.23929046863102
"event.times2224","+high",120,0,0.52,0.48,0,0.486138613861386,0.513861386138614,0.66,"84.0490269318815",0.862164157920684
"event.times2225","+low",120,0.32,0.19,0.49,0.328514851485149,0.15029702970297,0.521188118811881,0.22,"102.811847087657",1.24282956762053
"event.times2226","full",120,0.78,0,0.22,0.788118811881188,0,0.211881188118812,0.01,"0",0.884490363937611
"event.times2227","low.var",120,0.25,0.23,0.52,0.253267326732673,0.28009900990099,0.466633663366337,0.49,"67.6742598691681",1.23598697362163
"event.times2228","+high",120,0,0.58,0.42,0,0.566732673267327,0.433267326732673,0.67,"90.0032658062986",1.08878555954832
"event.times2229","+low",120,0.66,0,0.34,0.638019801980198,0,0.361980198019802,0.01,"0",0.727971191856671
"event.times2230","full",120,0.12,0.45,0.43,0.170792079207921,0.399405940594059,0.42980198019802,0.51,"148.967257861369",0.628650070048426
"event.times2231","low.var",120,0.34,0.3,0.36,0.351287128712871,0.295742574257426,0.352970297029703,0.45,"91.8840552929916",1.12168106298707
"event.times2232","+high",120,0,0.67,0.33,0,0.664257425742574,0.335742574257426,0.73,"73.7546471315505",1.46100154978569
"event.times2233","+low",120,0.41,0.08,0.51,0.345049504950495,0.111386138613861,0.543564356435644,0.25,"66.0481867843334",1.22926792616692
"event.times2234","full",120,0,0.2,0.8,0,0.207326732673267,0.792673267326733,0.49,"119.994120368323",1.43687461177332
"event.times2235","low.var",120,0,0.17,0.83,0,0.226435643564356,0.773564356435644,0.48,"134.123809553134",0.896940567475873
"event.times2236","+high",120,0,0.47,0.53,0,0.417128712871287,0.582871287128713,0.75,"77.1131345094743",0.8343134512774
"event.times2237","+low",120,0.3,0.14,0.56,0.292376237623762,0.118910891089109,0.588712871287129,0.28,"142.887578152032",1.08295997558783
"event.times2238","full",120,0,0.39,0.61,0,0.366831683168317,0.633168316831683,0.52,"117.123064332721",1.52996157392178
"event.times2239","low.var",120,0.09,0.35,0.56,0.108316831683168,0.407425742574257,0.484257425742574,0.5,"144.856151777515",0.938398591336138
"event.times2240","+high",120,0,0.59,0.41,0,0.569207920792079,0.430792079207921,0.72,"77.5806491509988",0.93189011058217
"event.times2241","+low",120,0.43,0.09,0.48,0.403267326732673,0.0669306930693069,0.52980198019802,0.28,"153.166291636342",0.7695104148948
"event.times2242","full",120,0,0.37,0.63,0,0.286633663366337,0.713366336633663,0.5,"168.825110699534",0.627669797196191
"event.times2243","low.var",120,0.24,0.22,0.54,0.190891089108911,0.261584158415842,0.547524752475248,0.44,"107.607808000992",1.1037135050209
"event.times2244","+high",120,0,0.45,0.55,0,0.39950495049505,0.60049504950495,0.63,"75.7221469222811",1.38195755317253
"event.times2245","+low",120,0.32,0.11,0.57,0.316831683168317,0.0753465346534653,0.607821782178218,0.26,"114.542432132871",1.23980048166092
"event.times2246","full",120,0.16,0.28,0.56,0.216336633663366,0.293960396039604,0.48970297029703,0.43,"68.7290966084535",1.72760923050053
"event.times2247","low.var",120,0.23,0.19,0.58,0.207821782178218,0.256435643564356,0.535742574257426,0.48,"119.890047153978",0.898340082844016
"event.times2248","+high",120,0,0.54,0.46,0,0.537227722772277,0.462772277227723,0.72,"59.1105558422466",1.52306136108175
"event.times2249","+low",120,0.69,0,0.31,0.642475247524752,0,0.357524752475248,0.01,"0",0.912222596273526
"event.times2250","full",120,0,0.2,0.8,0,0.160792079207921,0.839207920792079,0.47,"119.883788667824",1.37764316077081
"event.times2251","low.var",120,0.11,0.25,0.64,0.107524752475248,0.282574257425743,0.60990099009901,0.47,"122.596122574101",1.1052406165707
