"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times1913","+low",100,0.83,0,0.17,0.805643564356436,0,0.194356435643564,0.01,"0",0.377537309599251
"event.times1914","full",100,0.23,0.22,0.55,0.214455445544554,0.20990099009901,0.575643564356436,0.35,"36.0615596933042",0.763270729713873
"event.times1915","low.var",100,0.37,0.29,0.34,0.335445544554455,0.297821782178218,0.366732673267327,0.41,"112.087055697434",0.847951425723624
"event.times1916","+high",100,0.9,0,0.1,0.908316831683168,0,0.0916831683168317,0.01,"0",0.775350475327458
"event.times1917","+low",100,0.25,0.13,0.62,0.272871287128713,0.19,0.537128712871287,0.31,"138.770724738969",0.996976971027754
"event.times1918","full",100,0.06,0.24,0.7,0.0731683168316832,0.256336633663366,0.670495049504951,0.5,"136.312955885131",1.71211495072087
"event.times1919","low.var",100,0.42,0.21,0.37,0.40039603960396,0.187821782178218,0.411782178217822,0.51,"66.1505310308001",0.77978709675033
"event.times1920","+high",100,0.08,0.34,0.58,0.118811881188119,0.329306930693069,0.551881188118812,0.58,"87.2071980902111",1.58757458830857
"event.times1921","+low",100,0.45,0.13,0.42,0.456039603960396,0.154851485148515,0.389108910891089,0.32,"103.510443119907",1.01858746644062
"event.times1922","full",100,0.03,0.29,0.68,0.030990099009901,0.315346534653465,0.653663366336634,0.48,"125.163514693632",1.60024978113939
"event.times1923","low.var",100,0.36,0.29,0.35,0.414851485148515,0.238910891089109,0.346237623762376,0.42,"43.2527494534107",0.859974488598924
"event.times1924","+high",100,0.17,0.33,0.5,0.126237623762376,0.337524752475248,0.536237623762376,0.61,"106.338555329559",1.24387100915045
"event.times1925","+low",100,0.41,0.07,0.52,0.311386138613861,0.166732673267327,0.521881188118812,0.3,"174.539303122106",1.19127987309671
"event.times1926","full",100,0.35,0.15,0.5,0.322772277227723,0.108910891089109,0.568316831683168,0.42,"134.046858940848",0.957589599499719
"event.times1927","low.var",100,0.9,0,0.1,0.895049504950495,0,0.104950495049505,0.01,"0",1.20436336645755
"event.times1928","+high",100,0,0.6,0.4,0,0.526336633663366,0.473663366336634,0.62,"122.249794327535",1.37578855258799
"event.times1929","+low",100,0.35,0.16,0.49,0.368712871287129,0.158910891089109,0.472376237623762,0.33,"111.789715618399",1.07311454689939
"event.times1930","full",100,0.2,0.31,0.49,0.232970297029703,0.301188118811881,0.465841584158416,0.41,"120.093872244392",1.37468771511989
"event.times1931","low.var",100,0.25,0.22,0.53,0.207227722772277,0.201881188118812,0.590891089108911,0.48,"110.811523345619",0.864542365038311
"event.times1932","+high",100,0,0.45,0.55,0,0.443861386138614,0.556138613861386,0.57,"38.2906128467571",1.65517024657331
