"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2166","full",120,0.68,0,0.32,0.675841584158416,0,0.324158415841584,0.01,"0",0.569658250252048
"event.times2167","low.var",120,0.22,0.2,0.58,0.238019801980198,0.106138613861386,0.655841584158416,0.29,"213.628892645433",0.772703416292
"event.times2168","+high",120,0,0.3,0.7,0,0.346930693069307,0.653069306930693,0.52,"88.9853778078406",1.74496206427743
"event.times2169","+low",120,0.35,0.05,0.6,0.424554455445545,0.0611881188118812,0.514257425742574,0.09,"310.894483094496",0.693506815468756
"event.times2170","full",120,0.65,0,0.35,0.698118811881188,0,0.301881188118812,0.01,"0",0.31440178958575
"event.times2171","low.var",120,0.14,0.16,0.7,0.148019801980198,0.183366336633663,0.668613861386139,0.29,"108.557661109765",0.848961196284813
"event.times2172","+high",120,0.29,0.24,0.47,0.325544554455446,0.282574257425743,0.391881188118812,0.49,"136.887739993441",1.50690694676315
"event.times2173","+low",120,0.32,0,0.68,0.362376237623762,0.00396039603960396,0.633663366336634,0.07,"248.233486093848",1.04107251273176
"event.times2174","full",120,0.06,0.02,0.92,0.053960396039604,0.106633663366337,0.839405940594059,0.35,"200.302525105933",1.20666956331197
"event.times2175","low.var",120,0.45,0.18,0.37,0.464455445544554,0.163267326732673,0.372277227722772,0.24,"201.446350055431",1.20377001827486
"event.times2176","+high",120,0.19,0.35,0.46,0.185247524752475,0.290792079207921,0.523960396039604,0.48,"109.709498248404",1.16769520156719
"event.times2177","+low",120,0.67,0,0.33,0.630792079207921,0,0.369207920792079,0.01,"0",0.746822446368901
"event.times2178","full",120,0.34,0.12,0.54,0.317623762376238,0.19049504950495,0.491881188118812,0.24,"239.939695982841",0.972852024037367
"event.times2179","low.var",120,0.42,0.09,0.49,0.316534653465347,0.109207920792079,0.574257425742574,0.28,"178.736683337809",0.973022072965723
"event.times2180","+high",120,0,0.31,0.69,0,0.314554455445545,0.685445544554455,0.58,"85.4025882231986",1.34951661580724
